Name,Category,Location,Lat,Lon,Description,Municipality,Province,Tags,PhotoHint,Image_URL
Antonio's,Restaurant/Romantic,"Tagaytay, Cavite",14.08846643,120.898522,"A fine dining institution in Tagaytay known for its exceptional steak, elegant colonial-style architecture, and lush garden setting.",Tagaytay,Cavite,restaurant|romantic,Antonio's Tagaytay Cavite Philippines,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep8pBUKKSy-AsVPCawPw8QK-Nnu2gTRbwLa8GKeKyA9dUNMzby6SA3lcQCBwvKFMmyOsY4r1oByJ9H4obnZcCFWozxEpWHXTkDoLH756B6nLp3Kx_3bVJQhZ-XocqeA8gJkyRIxkCMCTBw5=w289-h312-n-k-no
Bale Dutung,Restaurant/Romantic,"Angeles, Pampanga",15.1292278,120.5943205,"The home of Chef Claude Tayag, serving an acclaimed degustation of authentic Kapampangan cuisine, including the famous 5-Way Lechon.",Angeles,Pampanga,restaurant|romantic,Bale Dutung Angeles Pampanga Philippines,https://images.squarespace-cdn.com/content/v1/5d7f2d797a64971f017f10ff/5ad4ed60-ebb3-4785-b505-e50740423548/06-29+BALE+DUTUNG+P2.png
Toyo Eatery,Restaurant/Romantic,"Makati, NCR",14.53123518,121.0227232,"A modern Filipino restaurant recognized by Asia's 50 Best Restaurants, offering innovative reinterpretations of local flavors.",Makati,NCR,restaurant|romantic,Toyo Eatery Makati NCR Philippines,https://toyoeatery.com/wp-content/uploads/2023/07/toyo-eatery-2023-b.jpg
Basco Lighthouse,Historical Site/Romantic/Family,"Basco, Batanes",20.45161447,121.9643629,A 6-story limestone lighthouse on Naidi Hill offering a panoramic view of the West Philippine Sea and Mt. Iraya.,Basco,Batanes,historical site|romantic|family,Basco Lighthouse Basco Batanes Philippines,https://upload.wikimedia.org/wikipedia/commons/e/ef/Basco_Lighthouse%2C_Day_Photo.jpg
Honesty Coffee Shop,Cafe/Romantic,"Ivana, Batanes",20.37227646,121.9138923,"A world-famous unmanned store where customers take what they need and drop their payment in a box, relying solely on honesty.",Ivana,Batanes,cafe|romantic,Honesty Coffee Shop Ivana Batanes Philippines,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/3a/75/16/mini-place-with-a-huge.jpg?w=900&h=500&s=1
Marlboro Country (Racuh a Payaman),Viewpoint/Romantic/Relaxation,"Mahatao, Batanes",20.39337941,121.9640515,"A breathtaking communal pastureland featuring rolling hills, free-roaming cattle, and spectacular views of the Pacific Ocean.",Mahatao,Batanes,viewpoint|romantic|relaxation,Marlboro Country (Racuh a Payaman) Mahatao Batanes Philippines,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/3b/e2/56/racuh-a-payaman-in-an.jpg?w=1200&h=1200&s=1
Kapurpurawan Rock Formation,Nature Park/Family/Relaxation,"Burgos, Ilocos Norte",18.53882387,120.6533197,A stunning creamy-white limestone rock formation sculpted by oceanic and weather forces over thousands of years.,Burgos,Ilocos Norte,nature park|family|relaxation,Kapurpurawan Rock Formation Burgos Ilocos Norte Philippines,https://upload.wikimedia.org/wikipedia/commons/2/29/Kapurpurawan_Rock_Formation_Medium_shot_2021.jpg
Calle Crisologo,Historical Site/Family/Relaxation,"Vigan, Ilocos Sur",17.57161175,120.3886881,A UNESCO World Heritage site featuring a cobblestone street lined with well-preserved Spanish-era ancestral houses.,Vigan,Ilocos Sur,historical site|family|relaxation,Calle Crisologo Vigan Ilocos Sur Philippines,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Calle_Crisologo%2C_Vigan%2C_Philippines_-_One_of_The_New_7_Wonder_Cities_of_The_World.jpg/1280px-Calle_Crisologo%2C_Vigan%2C_Philippines_-_One_of_The_New_7_Wonder_Cities_of_The_World.jpg
BenCab Museum,Museum/Family,"Tuba, Benguet",16.41087068,120.5503592,"Houses the art collection of National Artist Benedicto Cabrera, set against a backdrop of a misty organic farm and gardens.",Tuba,Benguet,museum|family,BenCab Museum Tuba Benguet Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzItQ5sqCQDu4nil8nXKeo8fBVsotWKlbJTA&s
Whang-od Buscalan Tattoo,Cultural Spot/Family,"Tinglayan, Kalinga",17.20143622,121.0882546,"The home of Apo Whang-od, the last 'mambabatok' (traditional Kalinga tattoo artist), attracting travelers seeking ancient ink.",Tinglayan,Kalinga,cultural spot|family,Whang-od Buscalan Tattoo Tinglayan Kalinga Philippines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfdjAW6l7tfjoxcLNK2iq-pMD4hqVFKURCXg&s
Las Casas Filipinas de Acuzar,Historical Site/Family/Relaxation,"Bagac, Bataan",14.60286321,120.3860629,A massive heritage resort featuring a collection of restored Spanish-Filipino houses transplanted from various parts of the country.,Bagac,Bataan,historical site|family|relaxation,Las Casas Filipinas de Acuzar Bagac Bataan Philippines,https://imagedelivery.net/Kw5BeEqyzbFQaJ4l-WOLqw/824ae45e-c598-45fb-468b-6f66bbd0c500/lcbbv1
Masungi Georeserve,Nature Park/Family/Relaxation,"Baras, Rizal",14.60355035,121.3197878,A conservation area known for its jagged limestone karsts and the 'Sapot' (spider web) viewing platform.,Baras,Rizal,nature park|family|relaxation,Masungi Georeserve Baras Rizal Philippines,https://upload.wikimedia.org/wikipedia/commons/6/6f/Sapot_Masungi_Georserve.jpg
Enchanted Kingdom,Tourist Attraction/Family/Relaxation,"Santa Rosa, Laguna",14.28241194,121.0965765,"The first and only world-class theme park in the Philippines, famous for the Space Shuttle roller coaster and weekend fireworks.",Santa Rosa,Laguna,tourist attraction|family|relaxation,Enchanted Kingdom Santa Rosa Laguna Philippines,https://outoftownblog.com/wp-content/uploads/2023/09/Enchanted-Kingdom-photo-via-FB-Page.jpeg
Taal Basilica,Historical Site/Family,"Taal, Batangas",13.8807484,120.9246817,"The Minor Basilica of Saint Martin of Tours, considered the largest Catholic church in Asia, known for its baroque architecture.",Taal,Batangas,historical site|family,Taal Basilica Taal Batangas Philippines,https://upload.wikimedia.org/wikipedia/commons/2/29/Minor_Basilica_of_Saint_Martin_of_Tours_or_Taal_Basilica_85M7772.jpg
Mayon Volcano ATV,Tourist Attraction/Family,"Daraga, Albay",13.17184916,123.7339838,An adrenaline-pumping adventure driving ATV quads through volcanic lava trails at the foot of the perfect-cone Mayon Volcano.,Daraga,Albay,tourist attraction|family,Mayon Volcano ATV Daraga Albay Philippines,"https://res.klook.com/image/upload/w_750,h_469,c_fill,q_85/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/lkrts1fjoxp0q1hivhr8.jpg"
Donsol Whale Shark Center,Nature Park/Family/Relaxation,"Donsol, Sorsogon",12.91,123.595,"The pioneering site for ethical whale shark interactions in the Philippines, allowing visitors to swim with the 'Butanding' in the wild.",Donsol,Sorsogon,nature park|family|relaxation,Donsol Whale Shark Center Donsol Sorsogon Philippines,https://visaliv.s3.ap-south-1.amazonaws.com/Donsol-Sorsogon-Whale-Shark-Watching-in-PH.jpg
